"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Germany","DEU","Land area (sq. km)","AG.LND.TOTL.K2","","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349120","349110","349100","349090","349050","349020","348980","348950","348900","348860","348810","348770","348760","348720","348670","348630","348610","348570","348560","348540","348880","348900","348858.984375","349360","349360","349360","","",
"Djibouti","DJI","Land area (sq. km)","AG.LND.TOTL.K2","","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","","",
"Dominica","DMA","Land area (sq. km)","AG.LND.TOTL.K2","","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","","",
"Denmark","DNK","Land area (sq. km)","AG.LND.TOTL.K2","","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42380","42380","42380","42380","42380","42380","42380","42380","42390","42390","42390","42390","42390","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","41990","41990","41990","41990","41990","41990","41990","","",
"Dominican Republic","DOM","Land area (sq. km)","AG.LND.TOTL.K2","","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","","",
"Algeria","DZA","Land area (sq. km)","AG.LND.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","","",
"East Asia & Pacific (excluding high income)","EAP","Land area (sq. km)","AG.LND.TOTL.K2","","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928610","15928580","15928540","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15928520","15929400","15929400","15929400","15929400","15929390","15929380","15929380","15929380","15929380","15914940","15914964.375","15914423.125","15913942.5","15913822.5","15913761.875","15913871.25","15913920.625","15913710.625","15913701.25","15913661.25","15913691.25","15913551.25","15913481.25","15913481.25","15913481.25","15913480","15913480","15913480","","",
"Early-demographic dividend","EAR","Land area (sq. km)","AG.LND.TOTL.K2","","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145132.9980469","33145102.9980469","33145062.9980469","33145042.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33144912.9980469","33145612.9980469","33145632.9980469","33145632.9980469","33138710","33138710","33138710","33138710","33110230","33110230","33110580","33110580","33110580","33110400","33108586.9995117","33108536.9995117","33108706.9995117","33108776.9995117","33108576.9995117","33109106.9995117","33109058.9994812","33109093.9994812","33108956.9995117","33108886.9995117","33107713.9955902","33107724.9995422","33107751.999054","33107751.999054","33107751.999054","","",
"East Asia & Pacific","EAS","Land area (sq. km)","AG.LND.TOTL.K2","","24402270","24402270","24402270","24402270","24402270","24402270","24402270","24402270","24402270","24402270","24402270","24402170","24402140","24402100","24401970","24401970","24401860","24401860","24401860","24401760","24401860","24401650","24401650","24400150","24400050","24400150","24400050","24400050","24400050","24400050","24401850","24401850","24401850","24401850","24401900","24401790","24401790","24401790","24401790","24387350","24387660.374999","24387175.1250005","24386716.49997","24386619.5000148","24386588.8750148","24386733.8500142","24386824.8250008","24386689.8250008","24386750.7500005","24386902.9499698","24386930.1500154","24386917.1499848","24386964.5460629","24386970.550015","24386985.6500149","24396748.4039211","24396748.4039211","24396748.4039211","","",
"Europe & Central Asia (excluding high income)","ECA","Land area (sq. km)","AG.LND.TOTL.K2","","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064.0019531","22405374.0019531","22400514.0019531","22397554.0019531","22397134.0019531","22397814.0019531","22400329.0019531","22407142","22399852","22398951.0039063","22397614.9980469","22397649.0019531","22397899.0019531","22397997","22394364.0019531","22394106.0039063","22393224.0019531","22393079.0019531","22393152.9960938","22393164.9980469","22393174.9980469","22393194.0117188","22392049.0019531","22392068.0058594","22392095.0078125","22392095.0078125","22381208.0078125","","",
"Europe & Central Asia","ECS","Land area (sq. km)","AG.LND.TOTL.K2","","27358694.0005417","27358674.0005417","27358684.0005417","27358684.0005417","27358674.0005417","27358664.0005417","27358654.0005417","27358644.0005417","27358644.0005417","27358634.0005417","27358624.0005417","27358624.0005417","27358624.0005417","27358594.0005417","27358474.0005417","27358394.0005417","27358374.0005417","27358374.0005417","27358344.0005417","27358264.0005417","27358244.0005417","27358234.0005417","27358194.0005417","27358204.9990768","27358204.9990768","27358204.9990768","27358214.9990768","27358204.9990768","27357214.9990768","27357214.9990768","27357324.9990768","27357365.0020065","27353655.0020065","27348835.0020065","27345845.0020065","27345514.0034714","27414853.0024948","27417327.0039597","27424109.00103","27448988.9766159","27447556.981987","27446859.9751511","27447382.9805222","27447431.9795456","27447357.9780807","27443073.9790573","27442782.9805222","27441352.1785202","27442170.777153","27443589.1707077","27443456.9685593","27440139.6760788","27441415.2022018","27440239.5967331","27439683.2026901","27440113.5884323","27440113.5884323","27429224.5884323","","",
"Ecuador","ECU","Land area (sq. km)","AG.LND.TOTL.K2","","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","","",
"Egypt, Arab Rep.","EGY","Land area (sq. km)","AG.LND.TOTL.K2","","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","","",
"Euro area","EMU","Land area (sq. km)","AG.LND.TOTL.K2","","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645872.015625","2645842.015625","2645722.015625","2645662.015625","2645632.015625","2645622.015625","2645632.015625","2645562.015625","2645552.015625","2645552.015625","2645522.015625","2645532.015625","2645532.015625","2645532.015625","2645532.015625","2645532.015625","2645532.015625","2645532.015625","2645532.015625","2645532.01660156","2645522.01660156","2645512.01660156","2645502.01660156","2645492.01660156","2645452.01660156","2645422.01660156","2645382.01660156","2677622.99316406","2677092.99316406","2677572.99316406","2678032.99316406","2677652.99316406","2677512.99316406","2676882.99316406","2676940.99121094","2676402.19116211","2676305.78979492","2677670.18920898","2677455.98510742","2677738.69262695","2679126.18164063","2679095.5859375","2678530.18798828","2678923.57177734","2678923.57177734","2678923.57177734","","",
"Eritrea","ERI","Land area (sq. km)","AG.LND.TOTL.K2","","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","","",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498660","500010","499880","500210","500210","500210","499661.015625","499563.984375","499563.984375","499563.984375","","",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","43470","43470","43470","43470","43470","43470","","",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","","",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","","3969062.015625","3969042.015625","3969052.015625","3969052.015625","3969042.015625","3969032.015625","3969022.015625","3969012.015625","3969012.015625","3969002.015625","3968992.015625","3968992.015625","3968992.015625","3968962.015625","3968842.015625","3968762.015625","3968742.015625","3968742.015625","3968712.015625","3968632.015625","3968612.015625","3968602.015625","3968562.015625","3968572.015625","3968572.015625","3968572.015625","3968582.015625","3968572.015625","3967582.015625","3967582.015625","3967692.015625","3967732.01660156","3967712.01660156","3967752.01660156","3967722.01660156","3967812.01660156","3967722.01660156","3967682.01660156","3967652.01660156","3999822.99316406","3999292.99316406","3998102.99316406","3998562.99316406","3998352.99316406","3998062.99316406","3997402.99316406","3997350.99121094","3996802.19116211","3997715.78979492","3999060.18920898","3998915.98510742","3995588.69262695","3996966.18164063","3996935.5859375","3996360.18798828","3996763.57177734","3996763.57177734","3996763.57177734","","",
"Fragile and conflict affected situations","FCS","Land area (sq. km)","AG.LND.TOTL.K2","","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16578338.000061","16577938.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16577538.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578418.000061","16578228.000061","16578088.000061","16578028.000061","16578198.000061","16578258.000061","16578048.000061","16574988.000061","16574938.000061","16574968.000061","16574828.000061","16574566.0078735","16574566.0078735","16574566.0078735","16574566.0078735","16574566.0078735","16563679.0078735","","",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","303890","303890","303890","303910","303910","303910","303910","","",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","","",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.015625","547566.9921875","547566.9921875","547566.9921875","547866.9921875","547566.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","547556.9921875","","",
"Faroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","","",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","","",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","","",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","","",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","","",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","","",
"Gibraltar","GIB","Land area (sq. km)","AG.LND.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","","",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","","",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","","",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","","",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","","",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","","",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","","",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","","",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","","",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","","35281118.4317926","35281098.4317926","35281108.4317926","35281108.4317926","35281098.4317926","35281088.4317926","35281078.4317926","35281068.4317926","35281068.4317926","35281058.4317926","35281048.4317926","35280948.4317926","35280948.4317926","35280918.4317926","35280688.4317926","35280608.4317926","35280478.4317926","35280478.4317926","35280448.4317926","35280178.4317926","35280258.4317926","35280038.4317926","35279998.4317926","35278509.4303278","35278409.4303278","35278509.4303278","35278419.4303278","35278409.4303278","35277419.4303278","35277419.4303278","35278449.4303278","35278509.4313044","35278489.4313044","35278529.4313044","35278559.4313044","35278548.4327692","35347207.4317926","35347166.4332575","35347135.4322809","35382265.4078669","35382020.4093307","35382715.4083556","35383236.4097899","35383068.4088582","35382936.4093465","35382321.0083693","35382339.6078676","35367375.8078188","35368409.7064513","35369948.3058042","35369806.3017482","35366609.0092677","35367982.917797","35367959.3260306","35367406.0281271","35377573.4158224","35377573.4158224","35377039.0158224","","",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1010","1010","1000","1000","1000","1000","1000","990","990","990","990","990","990","990","990","990","990","990","990","990","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","","",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","","",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378481.000061","17378081.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17377821.000061","17378531.000061","17378786.000061","17378786.000061","17378791.000061","17378791.000061","17378791.000061","17378791.000061","17378791.000061","17378791.000061","","",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55980","55980","55910","55910","55910","55910","55910","55910","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","","",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","","",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","90530","90530","90530","90530","90530","90530","90530","","",
"IBRD only","IBD","Land area (sq. km)","AG.LND.TOTL.K2","","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027899.03125","71027829.03125","71027789.03125","71027769.03125","71027639.03125","71027639.03125","71027639.03125","71027639.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71027549.03125","71026559.03125","71026559.03125","71027129.03125","71027129.0332031","71023439.0332031","71018629.0332031","71015639.0332031","71015309.0332031","71015999.0332031","70990024.0332031","70996847.03125","70975227.03125","70974350.4101563","70972633.1542969","70972216.5332031","70972656.5332031","70972733.90625","70969090.2832031","70968741.6601563","70967849.6582031","70965335.2832031","70965399.2773438","70965481.2792969","70965331.2792969","70965158.3007813","70965217.2949219","70965232.2949219","70965258.046875","70965258.046875","70965258.046875","","",
"IDA & IBRD total","IBT","Land area (sq. km)","AG.LND.TOTL.K2","","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411800.0293579","93411730.0293579","93411290.0293579","93411010.0293579","93410880.0293579","93410880.0293579","93410880.0293579","93410880.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93410790.0293579","93409800.0293579","93409800.0293579","93411250.0293579","93411250.031311","93407560.031311","93395827.0332642","93392837.0332642","93392507.0332642","93393197.0332642","93367222.0332642","93374045.031311","93352775.031311","93351898.4102173","93350181.1543579","93349574.5332642","93348191.5327759","93348208.9058228","93344735.2827759","93344446.659729","93343344.6577759","93340820.2827759","93341544.2769165","93341911.2788696","93341621.2788696","93341383.300354","93340268.2905884","93340287.2944946","93340340.0459595","93340340.0459595","93329453.0459595","","",
